Sensor	Abundance	Log10u	sigma
mutant0	0.000498882849966	-0.873166737112	0.314199837209
mutant1	0.000997730037267	-1.16011715896	0.293336805326
mutant10	0.000461383780317	-0.534377037883	0.108351963932
mutant100	0.000461088519802	0.760560829802	0.217832295315
mutant1000	0.000941709445789	0.884880139129	0.127133234177
mutant1001	0.000410270873158	0.380410862277	0.13056026484
mutant1002	0.000612475828372	0.624655510676	0.0659865844575
mutant1003	0.000485354649779	-1.22957179819	0.248600703425
mutant1004	0.0008001160688	-1.3713869829	0.053475109601
mutant1005	0.00112182397418	-1.35111350075	0.0555389314315
mutant1006	0.000950681356738	0.423459257495	0.352325500416
mutant1007	0.00028501022946	-0.965436673589	0.137435986017
mutant1008	0.00062380036243	0.386822440731	0.387342703122
mutant1009	0.000438949908456	0.627480598422	0.0778738076385
mutant101	0.000542681090263	-1.37983750713	0.09704901085
mutant1010	0.00064993569214	-0.447430339989	0.124753505989
mutant1011	0.00112412777954	-0.278933790691	0.225569892957
mutant1012	0.000429918795179	-0.782270317069	0.133181765256
mutant1013	0.000692918155211	0.184175493662	0.389310825842
mutant1014	0.00109631128506	-1.33395636711	0.211168452203
mutant1015	0.000409685821723	-0.0544259854721	0.376256645618
mutant1016	0.000801959457887	0.899787031825	0.261119733622
mutant1017	0.00035497886818	0.0919453423496	0.217945069035
mutant1018	0.00100911221545	-0.738917970966	0.399791662303
mutant1019	0.000469920641627	0.0429776144934	0.200095312319
mutant102	0.0010010202574	-0.272974757875	0.197013195405
mutant1020	0.000413213583854	-1.31685215159	0.136219769353
mutant1021	0.00101973362137	-0.22919102161	0.0860574426692
mutant1022	0.000971059209838	-0.28869935655	0.107101752516
mutant1023	0.000752462423976	0.358189034892	0.347783524316
mutant1024	0.000450596277285	-0.245615349972	0.318950892967
mutant1025	0.000263549324596	-0.424517829471	0.244289171698
mutant1026	0.000884776957307	-1.33503621939	0.323635284822
mutant1027	0.00049473046347	0.485822955744	0.39538568106
mutant1028	0.000342975887198	-0.806812914106	0.240569185786
mutant1029	0.000855924625816	-1.42856886618	0.367769713628
mutant103	0.000803075723948	-1.16971147066	0.168662347045
mutant1030	0.000642440424134	0.0266933773204	0.15351694618
mutant1031	0.000560979477709	-1.3055549737	0.26628934149
mutant1032	0.000825983223738	-1.20448424666	0.112138357827
mutant1033	0.000509709870798	-0.233713106898	0.130717470883
mutant1034	0.000249196329676	-0.849125922955	0.212885264871
mutant1035	0.000195100339379	-0.03612230324	0.215166002579
mutant1036	0.000359972835825	-1.03455280035	0.109188662405
mutant1037	0.000539705628797	-0.597167369556	0.284873973929
mutant1038	0.000239098277196	-0.308722858039	0.336796070053
mutant1039	0.000727331845291	0.714420292759	0.250089082606
mutant104	0.000730568175703	-0.592754760774	0.231493191737
mutant1040	0.000290331994963	-1.31814282807	0.362735640542
mutant1041	0.000883321446451	-0.773242351016	0.350956899071
mutant1042	0.000197043205175	-0.935587422004	0.0927633614033
mutant1043	0.0011512126396	-0.379387751866	0.301848438701
mutant1044	0.00103649206929	-1.01785370067	0.392188578023
mutant1045	0.000338722527677	-0.204299711457	0.30236876879
mutant1046	0.000744559122688	-0.210946915039	0.348803182537
mutant1047	0.000396041001532	0.639614179736	0.247378919685
mutant1048	0.000957404669574	0.612733643303	0.112645708167
mutant1049	0.000490773587072	-0.879808986653	0.0975552118149
mutant105	0.00109882762587	0.349412792065	0.344439314333
mutant1050	0.000863477322553	-1.09321410697	0.184953910449
mutant1051	0.000906108340856	0.370354360738	0.390302652934
mutant1052	0.000367200160346	0.036639831354	0.194569951786
mutant1053	0.000571162428588	0.663279047331	0.147724709223
mutant1054	0.000563353731326	0.88619163653	0.221414092974
mutant1055	0.000716381739007	-0.0614646350817	0.308261228113
mutant1056	0.000745103833554	0.450889557928	0.263501405372
mutant1057	0.000854111480264	-0.21247452145	0.373304084541
mutant1058	0.000957394072314	-1.44698566644	0.340193882358
mutant1059	0.000302370690992	-1.38560604841	0.18611235671
mutant106	0.00107584521375	-0.734374263936	0.39294471177
mutant1060	0.000289717292317	-1.36329405789	0.0595237374892
mutant1061	0.000781959740423	-0.141631529038	0.191851129442
mutant1062	0.000248053920493	0.864938178298	0.223204703945
mutant1063	0.00101691733691	-1.2451685624	0.280302325554
